,Project ID,Phase,Start Date,Planned_Duration,Planned_Cost,Planned_Delivrable,Project,Actual_Duration,_merge,Delay,Is_Late,Delay_Category,Start_Month,Start_Quarter,Start_Year,Planned_Intensity,Project Type,Country,Region,Type,Phase 1 - Planning,Phase 2 - Initiation,Phase 3 - Implementation,Phase 4 - Manufacturing,Phase A - Initiation,Phase B - Preparation,Phase C - Development,Phase D - Testing,Phase E - Deployment,Phase F - Post-deployment
113,29,Phase 2 - Initiation,2018-07-26,80,100000,5,29,43,both,-37,0,En avance,7,3,2018,1.875,Marketing - Launch of new product,Belgique,Western Europe,Affiliate,0,1,0,0,0,0,0,0,0,0
114,29,Phase 3 - Implementation,2018-09-07,117,150000,5,29,116,both,-1,0,En avance,9,3,2018,1.2820512820512822,Marketing - Launch of new product,Belgique,Western Europe,Affiliate,0,0,1,0,0,0,0,0,0,0
115,29,Phase 4 - Manufacturing,2019-01-01,5,450000,16,29,3,both,-2,0,En avance,1,1,2019,96.0,Marketing - Launch of new product,Belgique,Western Europe,Affiliate,0,0,0,1,0,0,0,0,0,0
116,30,Phase 1 - Planning,2018-01-07,165,100000,20,30,112,both,-53,0,En avance,1,1,2018,3.6363636363636367,Marketing - Launch of new product,Canada,North and Latin America,Distributor,1,0,0,0,0,0,0,0,0,0
117,30,Phase 2 - Initiation,2018-02-11,182,200000,11,30,126,both,-56,0,En avance,2,1,2018,1.8131868131868132,Marketing - Launch of new product,Canada,North and Latin America,Distributor,0,1,0,0,0,0,0,0,0,0
118,30,Phase 3 - Implementation,2018-03-01,17,300000,8,30,30,both,13,1,Petit retard (<1mois),3,1,2018,14.117647058823529,Marketing - Launch of new product,Canada,North and Latin America,Distributor,0,0,1,0,0,0,0,0,0,0
119,30,Phase 4 - Manufacturing,2018-03-31,149,900000,23,30,141,both,-8,0,En avance,3,1,2018,4.630872483221476,Marketing - Launch of new product,Canada,North and Latin America,Distributor,0,0,0,1,0,0,0,0,0,0
120,31,Phase 1 - Planning,2018-04-12,26,100000,4,31,36,both,10,1,Petit retard (<1mois),4,2,2018,4.615384615384616,Marketing - Launch of new product,Norvege,Western Europe,Distributor,1,0,0,0,0,0,0,0,0,0
121,31,Phase 2 - Initiation,2018-06-13,76,200000,20,31,50,both,-26,0,En avance,6,2,2018,7.894736842105263,Marketing - Launch of new product,Norvege,Western Europe,Distributor,0,1,0,0,0,0,0,0,0,0
122,31,Phase 3 - Implementation,2018-11-10,94,300000,17,31,54,both,-40,0,En avance,11,4,2018,5.425531914893617,Marketing - Launch of new product,Norvege,Western Europe,Distributor,0,0,1,0,0,0,0,0,0,0
123,31,Phase 4 - Manufacturing,2019-01-03,86,900000,23,31,49,both,-37,0,En avance,1,1,2019,8.023255813953488,Marketing - Launch of new product,Norvege,Western Europe,Distributor,0,0,0,1,0,0,0,0,0,0
124,32,Phase 1 - Planning,2018-02-28,107,50000,10,32,56,both,-51,0,En avance,2,1,2018,2.803738317757009,Marketing - Launch of new product,Turquie,Central/Eastern Europe-Middle East-Africa,Distributor,1,0,0,0,0,0,0,0,0,0
125,32,Phase 2 - Initiation,2018-03-09,76,100000,5,32,25,both,-51,0,En avance,3,1,2018,1.9736842105263157,Marketing - Launch of new product,Turquie,Central/Eastern Europe-Middle East-Africa,Distributor,0,1,0,0,0,0,0,0,0,0
126,32,Phase 3 - Implementation,2018-04-03,134,150000,25,32,108,both,-26,0,En avance,4,2,2018,5.597014925373134,Marketing - Launch of new product,Turquie,Central/Eastern Europe-Middle East-Africa,Distributor,0,0,1,0,0,0,0,0,0,0
127,32,Phase 4 - Manufacturing,2018-07-20,34,450000,9,32,21,both,-13,0,En avance,7,3,2018,7.9411764705882355,Marketing - Launch of new product,Turquie,Central/Eastern Europe-Middle East-Africa,Distributor,0,0,0,1,0,0,0,0,0,0
128,33,Phase 1 - Planning,2018-03-31,53,50000,12,33,53,both,0,0,À l'heure,3,1,2018,6.7924528301886795,Marketing - Launch of new product,Malte,Central/Eastern Europe-Middle East-Africa,Distributor,1,0,0,0,0,0,0,0,0,0
129,33,Phase 2 - Initiation,2018-06-04,87,100000,21,33,100,both,13,1,Petit retard (<1mois),6,2,2018,7.241379310344828,Marketing - Launch of new product,Malte,Central/Eastern Europe-Middle East-Africa,Distributor,0,1,0,0,0,0,0,0,0,0
130,33,Phase 3 - Implementation,2018-06-16,45,150000,4,33,62,both,17,1,Petit retard (<1mois),6,2,2018,2.666666666666667,Marketing - Launch of new product,Malte,Central/Eastern Europe-Middle East-Africa,Distributor,0,0,1,0,0,0,0,0,0,0
131,33,Phase 4 - Manufacturing,2018-10-04,121,450000,11,33,82,both,-39,0,En avance,10,4,2018,2.7272727272727275,Marketing - Launch of new product,Malte,Central/Eastern Europe-Middle East-Africa,Distributor,0,0,0,1,0,0,0,0,0,0
132,34,Phase 1 - Planning,2018-05-26,109,100000,12,34,38,both,-71,0,En avance,5,2,2018,3.302752293577982,Marketing - Launch of new product,Israel,Central/Eastern Europe-Middle East-Africa,Distributor,1,0,0,0,0,0,0,0,0,0
133,34,Phase 2 - Initiation,2018-07-03,153,200000,23,34,128,both,-25,0,En avance,7,3,2018,4.509803921568627,Marketing - Launch of new product,Israel,Central/Eastern Europe-Middle East-Africa,Distributor,0,1,0,0,0,0,0,0,0,0
134,34,Phase 3 - Implementation,2018-07-06,165,300000,15,34,132,both,-33,0,En avance,7,3,2018,2.7272727272727275,Marketing - Launch of new product,Israel,Central/Eastern Europe-Middle East-Africa,Distributor,0,0,1,0,0,0,0,0,0,0
135,34,Phase 4 - Manufacturing,2018-11-15,181,900000,24,34,99,both,-82,0,En avance,11,4,2018,3.9779005524861875,Marketing - Launch of new product,Israel,Central/Eastern Europe-Middle East-Africa,Distributor,0,0,0,1,0,0,0,0,0,0
136,35,Phase 1 - Planning,2018-03-02,25,100000,27,35,30,both,5,1,Petit retard (<1mois),3,1,2018,32.400000000000006,Marketing - Launch of new product,Norvege,Western Europe,Distributor,1,0,0,0,0,0,0,0,0,0
137,35,Phase 2 - Initiation,2018-04-01,195,200000,17,35,96,both,-99,0,En avance,4,2,2018,2.6153846153846154,Marketing - Launch of new product,Norvege,Western Europe,Distributor,0,1,0,0,0,0,0,0,0,0
138,35,Phase 3 - Implementation,2018-07-06,54,300000,11,35,77,both,23,1,Petit retard (<1mois),7,3,2018,6.111111111111111,Marketing - Launch of new product,Norvege,Western Europe,Distributor,0,0,1,0,0,0,0,0,0,0
139,35,Phase 4 - Manufacturing,2018-09-21,79,900000,26,35,122,both,43,1,Retard moyen (1-3mois),9,3,2018,9.873417721518987,Marketing - Launch of new product,Norvege,Western Europe,Distributor,0,0,0,1,0,0,0,0,0,0
140,36,Phase 1 - Planning,2018-02-25,54,50000,8,36,44,both,-10,0,En avance,2,1,2018,4.444444444444445,Marketing - Launch of new product,Portugal,Western Europe,Distributor,1,0,0,0,0,0,0,0,0,0
141,36,Phase 2 - Initiation,2018-07-13,66,100000,3,36,57,both,-9,0,En avance,7,3,2018,1.3636363636363638,Marketing - Launch of new product,Portugal,Western Europe,Distributor,0,1,0,0,0,0,0,0,0,0
142,36,Phase 3 - Implementation,2018-12-17,63,150000,25,36,144,both,81,1,Retard moyen (1-3mois),12,4,2018,11.904761904761903,Marketing - Launch of new product,Portugal,Western Europe,Distributor,0,0,1,0,0,0,0,0,0,0
143,36,Phase 4 - Manufacturing,2019-05-10,176,450000,26,36,74,both,-102,0,En avance,5,2,2019,4.431818181818182,Marketing - Launch of new product,Portugal,Western Europe,Distributor,0,0,0,1,0,0,0,0,0,0
144,37,Phase 1 - Planning,2018-01-24,19,50000,7,37,12,both,-7,0,En avance,1,1,2018,11.052631578947368,Marketing - Launch of new product,Pologne,Central/Eastern Europe-Middle East-Africa,Affiliate,1,0,0,0,0,0,0,0,0,0
145,37,Phase 2 - Initiation,2018-06-01,110,100000,11,37,75,both,-35,0,En avance,6,2,2018,3.0,Marketing - Launch of new product,Pologne,Central/Eastern Europe-Middle East-Africa,Affiliate,0,1,0,0,0,0,0,0,0,0
146,37,Phase 3 - Implementation,2018-08-15,137,150000,32,37,92,both,-45,0,En avance,8,3,2018,7.007299270072992,Marketing - Launch of new product,Pologne,Central/Eastern Europe-Middle East-Africa,Affiliate,0,0,1,0,0,0,0,0,0,0
147,37,Phase 4 - Manufacturing,2018-11-15,119,450000,8,37,78,both,-41,0,En avance,11,4,2018,2.0168067226890756,Marketing - Launch of new product,Pologne,Central/Eastern Europe-Middle East-Africa,Affiliate,0,0,0,1,0,0,0,0,0,0
148,38,Phase 1 - Planning,2018-04-22,135,50000,14,38,56,both,-79,0,En avance,4,2,2018,3.111111111111111,Marketing - Launch of new product,Grece,Western Europe,Affiliate,1,0,0,0,0,0,0,0,0,0
149,38,Phase 2 - Initiation,2018-05-30,48,100000,26,38,84,both,36,1,Retard moyen (1-3mois),5,2,2018,16.25,Marketing - Launch of new product,Grece,Western Europe,Affiliate,0,1,0,0,0,0,0,0,0,0
150,38,Phase 3 - Implementation,2018-08-22,171,150000,23,38,135,both,-36,0,En avance,8,3,2018,4.035087719298246,Marketing - Launch of new product,Grece,Western Europe,Affiliate,0,0,1,0,0,0,0,0,0,0
151,38,Phase 4 - Manufacturing,2019-01-04,47,450000,6,38,74,both,27,1,Petit retard (<1mois),1,1,2019,3.829787234042553,Marketing - Launch of new product,Grece,Western Europe,Affiliate,0,0,0,1,0,0,0,0,0,0
152,39,Phase 1 - Planning,2018-02-16,38,100000,31,39,16,both,-22,0,En avance,2,1,2018,24.473684210526315,Marketing - Launch of new product,Danemark,Western Europe,Distributor,1,0,0,0,0,0,0,0,0,0
153,39,Phase 2 - Initiation,2018-07-26,173,200000,19,39,148,both,-25,0,En avance,7,3,2018,3.294797687861272,Marketing - Launch of new product,Danemark,Western Europe,Distributor,0,1,0,0,0,0,0,0,0,0
154,39,Phase 3 - Implementation,2018-12-21,21,300000,11,39,12,both,-9,0,En avance,12,4,2018,15.714285714285715,Marketing - Launch of new product,Danemark,Western Europe,Distributor,0,0,1,0,0,0,0,0,0,0
155,39,Phase 4 - Manufacturing,2019-04-21,162,900000,9,39,172,both,10,1,Petit retard (<1mois),4,2,2019,1.6666666666666665,Marketing - Launch of new product,Danemark,Western Europe,Distributor,0,0,0,1,0,0,0,0,0,0
156,40,Phase 1 - Planning,2018-04-28,142,33300,27,40,198,both,56,1,Retard moyen (1-3mois),4,2,2018,5.704225352112676,Marketing - Launch of new product,Senegal,Central/Eastern Europe-Middle East-Africa,Distributor,1,0,0,0,0,0,0,0,0,0
157,40,Phase 2 - Initiation,2018-05-19,91,66700,18,40,121,both,30,1,Petit retard (<1mois),5,2,2018,5.934065934065933,Marketing - Launch of new product,Senegal,Central/Eastern Europe-Middle East-Africa,Distributor,0,1,0,0,0,0,0,0,0,0
158,40,Phase 3 - Implementation,2018-09-17,175,100000,20,40,90,both,-85,0,En avance,9,3,2018,3.4285714285714284,Marketing - Launch of new product,Senegal,Central/Eastern Europe-Middle East-Africa,Distributor,0,0,1,0,0,0,0,0,0,0
159,40,Phase 4 - Manufacturing,2018-12-16,54,300000,15,40,54,both,0,0,À l'heure,12,4,2018,8.333333333333334,Marketing - Launch of new product,Senegal,Central/Eastern Europe-Middle East-Africa,Distributor,0,0,0,1,0,0,0,0,0,0
160,41,Phase 1 - Planning,2018-05-05,53,100000,29,41,84,both,31,1,Retard moyen (1-3mois),5,2,2018,16.41509433962264,Marketing - Launch of new product,Slovaquie,Central/Eastern Europe-Middle East-Africa,Affiliate,1,0,0,0,0,0,0,0,0,0
161,41,Phase 2 - Initiation,2018-07-28,89,200000,32,41,100,both,11,1,Petit retard (<1mois),7,3,2018,10.786516853932584,Marketing - Launch of new product,Slovaquie,Central/Eastern Europe-Middle East-Africa,Affiliate,0,1,0,0,0,0,0,0,0,0
162,41,Phase 3 - Implementation,2018-08-18,74,300000,23,41,40,both,-34,0,En avance,8,3,2018,9.324324324324325,Marketing - Launch of new product,Slovaquie,Central/Eastern Europe-Middle East-Africa,Affiliate,0,0,1,0,0,0,0,0,0,0
163,41,Phase 4 - Manufacturing,2018-08-22,140,900000,6,41,48,both,-92,0,En avance,8,3,2018,1.2857142857142858,Marketing - Launch of new product,Slovaquie,Central/Eastern Europe-Middle East-Africa,Affiliate,0,0,0,1,0,0,0,0,0,0
164,42,Phase 1 - Planning,2018-05-27,194,50000,9,42,93,both,-101,0,En avance,5,2,2018,1.3917525773195876,Marketing - Launch of new product,Lituanie,Central/Eastern Europe-Middle East-Africa,Affiliate,1,0,0,0,0,0,0,0,0,0
165,42,Phase 2 - Initiation,2018-08-28,183,100000,29,42,86,both,-97,0,En avance,8,3,2018,4.754098360655738,Marketing - Launch of new product,Lituanie,Central/Eastern Europe-Middle East-Africa,Affiliate,0,1,0,0,0,0,0,0,0,0
166,42,Phase 3 - Implementation,2018-11-22,166,150000,13,42,63,both,-103,0,En avance,11,4,2018,2.3493975903614457,Marketing - Launch of new product,Lituanie,Central/Eastern Europe-Middle East-Africa,Affiliate,0,0,1,0,0,0,0,0,0,0
167,42,Phase 4 - Manufacturing,2019-01-24,33,450000,22,42,18,both,-15,0,En avance,1,1,2019,20.0,Marketing - Launch of new product,Lituanie,Central/Eastern Europe-Middle East-Africa,Affiliate,0,0,0,1,0,0,0,0,0,0
168,43,Phase 1 - Planning,2018-02-24,4,100000,14,43,9,both,5,1,Petit retard (<1mois),2,1,2018,105.0,Marketing - Launch of new product,Luxembourg,Western Europe,Affiliate,1,0,0,0,0,0,0,0,0,0
169,43,Phase 2 - Initiation,2018-05-18,151,200000,7,43,92,both,-59,0,En avance,5,2,2018,1.390728476821192,Marketing - Launch of new product,Luxembourg,Western Europe,Affiliate,0,1,0,0,0,0,0,0,0,0
170,43,Phase 3 - Implementation,2018-08-18,187,300000,7,43,129,both,-58,0,En avance,8,3,2018,1.122994652406417,Marketing - Launch of new product,Luxembourg,Western Europe,Affiliate,0,0,1,0,0,0,0,0,0,0
171,43,Phase 4 - Manufacturing,2018-12-25,81,900000,6,43,50,both,-31,0,En avance,12,4,2018,2.2222222222222223,Marketing - Launch of new product,Luxembourg,Western Europe,Affiliate,0,0,0,1,0,0,0,0,0,0
172,44,Phase 1 - Planning,2018-02-27,117,50000,8,44,56,both,-61,0,En avance,2,1,2018,2.0512820512820515,Marketing - Launch of new product,Jordanie,Central/Eastern Europe-Middle East-Africa,Distributor,1,0,0,0,0,0,0,0,0,0
173,44,Phase 2 - Initiation,2018-04-07,126,100000,6,44,102,both,-24,0,En avance,4,2,2018,1.4285714285714284,Marketing - Launch of new product,Jordanie,Central/Eastern Europe-Middle East-Africa,Distributor,0,1,0,0,0,0,0,0,0,0
174,44,Phase 3 - Implementation,2018-04-19,71,150000,10,44,166,both,95,1,Grand retard (>3mois),4,2,2018,4.225352112676057,Marketing - Launch of new product,Jordanie,Central/Eastern Europe-Middle East-Africa,Distributor,0,0,1,0,0,0,0,0,0,0
175,44,Phase 4 - Manufacturing,2018-10-02,113,450000,23,44,116,both,3,1,Petit retard (<1mois),10,4,2018,6.106194690265487,Marketing - Launch of new product,Jordanie,Central/Eastern Europe-Middle East-Africa,Distributor,0,0,0,1,0,0,0,0,0,0
176,45,Phase 1 - Planning,2018-04-25,139,33300,13,45,154,both,15,1,Petit retard (<1mois),4,2,2018,2.805755395683453,Marketing - Launch of new product,Gambie,Central/Eastern Europe-Middle East-Africa,Distributor,1,0,0,0,0,0,0,0,0,0
177,45,Phase 2 - Initiation,2018-09-26,193,66700,10,45,98,both,-95,0,En avance,9,3,2018,1.5544041450777202,Marketing - Launch of new product,Gambie,Central/Eastern Europe-Middle East-Africa,Distributor,0,1,0,0,0,0,0,0,0,0
178,45,Phase 3 - Implementation,2018-11-25,56,100000,28,45,51,both,-5,0,En avance,11,4,2018,15.0,Marketing - Launch of new product,Gambie,Central/Eastern Europe-Middle East-Africa,Distributor,0,0,1,0,0,0,0,0,0,0
179,45,Phase 4 - Manufacturing,2019-01-15,149,300000,28,45,56,both,-93,0,En avance,1,1,2019,5.6375838926174495,Marketing - Launch of new product,Gambie,Central/Eastern Europe-Middle East-Africa,Distributor,0,0,0,1,0,0,0,0,0,0
180,46,Phase 1 - Planning,2018-04-20,10,50000,17,46,12,both,2,1,Petit retard (<1mois),4,2,2018,51.0,Marketing - Launch of new product,Macedoine,Central/Eastern Europe-Middle East-Africa,Distributor,1,0,0,0,0,0,0,0,0,0
181,46,Phase 2 - Initiation,2018-08-27,60,100000,19,46,17,both,-43,0,En avance,8,3,2018,9.5,Marketing - Launch of new product,Macedoine,Central/Eastern Europe-Middle East-Africa,Distributor,0,1,0,0,0,0,0,0,0,0
182,46,Phase 3 - Implementation,2019-02-19,184,150000,31,46,106,both,-78,0,En avance,2,1,2019,5.054347826086956,Marketing - Launch of new product,Macedoine,Central/Eastern Europe-Middle East-Africa,Distributor,0,0,1,0,0,0,0,0,0,0
183,46,Phase 4 - Manufacturing,2019-06-05,200,450000,7,46,90,both,-110,0,En avance,6,2,2019,1.05,Marketing - Launch of new product,Macedoine,Central/Eastern Europe-Middle East-Africa,Distributor,0,0,0,1,0,0,0,0,0,0
184,47,Phase 1 - Planning,2018-01-31,54,33300,32,47,40,both,-14,0,En avance,1,1,2018,17.77777777777778,Marketing - Launch of new product,Niger,Central/Eastern Europe-Middle East-Africa,Distributor,1,0,0,0,0,0,0,0,0,0
185,47,Phase 2 - Initiation,2018-03-12,152,66700,25,47,180,both,28,1,Petit retard (<1mois),3,1,2018,4.934210526315789,Marketing - Launch of new product,Niger,Central/Eastern Europe-Middle East-Africa,Distributor,0,1,0,0,0,0,0,0,0,0
186,47,Phase 3 - Implementation,2018-09-08,90,100000,28,47,87,both,-3,0,En avance,9,3,2018,9.333333333333334,Marketing - Launch of new product,Niger,Central/Eastern Europe-Middle East-Africa,Distributor,0,0,1,0,0,0,0,0,0,0
187,47,Phase 4 - Manufacturing,2018-12-04,49,300000,9,47,40,both,-9,0,En avance,12,4,2018,5.510204081632653,Marketing - Launch of new product,Niger,Central/Eastern Europe-Middle East-Africa,Distributor,0,0,0,1,0,0,0,0,0,0
188,48,Phase 1 - Planning,2018-04-08,66,100000,24,48,27,both,-39,0,En avance,4,2,2018,10.90909090909091,Marketing - Launch of new product,Slovenie,Central/Eastern Europe-Middle East-Africa,Affiliate,1,0,0,0,0,0,0,0,0,0
189,48,Phase 2 - Initiation,2018-05-05,110,200000,27,48,90,both,-20,0,En avance,5,2,2018,7.363636363636363,Marketing - Launch of new product,Slovenie,Central/Eastern Europe-Middle East-Africa,Affiliate,0,1,0,0,0,0,0,0,0,0
190,48,Phase 3 - Implementation,2018-08-03,178,300000,11,48,119,both,-59,0,En avance,8,3,2018,1.8539325842696628,Marketing - Launch of new product,Slovenie,Central/Eastern Europe-Middle East-Africa,Affiliate,0,0,1,0,0,0,0,0,0,0
191,48,Phase 4 - Manufacturing,2018-08-22,167,900000,32,48,133,both,-34,0,En avance,8,3,2018,5.748502994011976,Marketing - Launch of new product,Slovenie,Central/Eastern Europe-Middle East-Africa,Affiliate,0,0,0,1,0,0,0,0,0,0
192,49,Phase 1 - Planning,2018-04-19,30,50000,32,49,17,both,-13,0,En avance,4,2,2018,32.0,Marketing - Launch of new product,Ile Maurice,Central/Eastern Europe-Middle East-Africa,Distributor,1,0,0,0,0,0,0,0,0,0
193,49,Phase 2 - Initiation,2018-10-08,84,100000,27,49,41,both,-43,0,En avance,10,4,2018,9.642857142857144,Marketing - Launch of new product,Ile Maurice,Central/Eastern Europe-Middle East-Africa,Distributor,0,1,0,0,0,0,0,0,0,0
194,49,Phase 3 - Implementation,2018-11-18,186,150000,31,49,70,both,-116,0,En avance,11,4,2018,5.0,Marketing - Launch of new product,Ile Maurice,Central/Eastern Europe-Middle East-Africa,Distributor,0,0,1,0,0,0,0,0,0,0
195,49,Phase 4 - Manufacturing,2019-01-27,86,450000,24,49,39,both,-47,0,En avance,1,1,2019,8.372093023255815,Marketing - Launch of new product,Ile Maurice,Central/Eastern Europe-Middle East-Africa,Distributor,0,0,0,1,0,0,0,0,0,0
196,50,Phase 1 - Planning,2018-05-27,158,50000,12,50,62,both,-96,0,En avance,5,2,2018,2.278481012658228,Marketing - Launch of new product,Serbie,Central/Eastern Europe-Middle East-Africa,Affiliate,1,0,0,0,0,0,0,0,0,0
197,50,Phase 2 - Initiation,2018-07-28,136,100000,25,50,56,both,-80,0,En avance,7,3,2018,5.514705882352942,Marketing - Launch of new product,Serbie,Central/Eastern Europe-Middle East-Africa,Affiliate,0,1,0,0,0,0,0,0,0,0
198,50,Phase 3 - Implementation,2018-09-22,121,150000,19,50,40,both,-81,0,En avance,9,3,2018,4.710743801652892,Marketing - Launch of new product,Serbie,Central/Eastern Europe-Middle East-Africa,Affiliate,0,0,1,0,0,0,0,0,0,0
199,50,Phase 4 - Manufacturing,2018-11-01,129,450000,10,50,118,both,-11,0,En avance,11,4,2018,2.3255813953488373,Marketing - Launch of new product,Serbie,Central/Eastern Europe-Middle East-Africa,Affiliate,0,0,0,1,0,0,0,0,0,0
200,51,Phase 1 - Planning,2018-02-05,129,100000,12,51,108,both,-21,0,En avance,2,1,2018,2.7906976744186047,Marketing - Launch of new product,Suede,Western Europe,Distributor,1,0,0,0,0,0,0,0,0,0
201,51,Phase 2 - Initiation,2018-05-24,138,200000,6,51,56,both,-82,0,En avance,5,2,2018,1.3043478260869565,Marketing - Launch of new product,Suede,Western Europe,Distributor,0,1,0,0,0,0,0,0,0,0
202,51,Phase 3 - Implementation,2018-07-06,31,300000,7,51,15,both,-16,0,En avance,7,3,2018,6.774193548387097,Marketing - Launch of new product,Suede,Western Europe,Distributor,0,0,1,0,0,0,0,0,0,0
203,51,Phase 4 - Manufacturing,2018-12-11,76,900000,28,51,133,both,57,1,Retard moyen (1-3mois),12,4,2018,11.052631578947368,Marketing - Launch of new product,Suede,Western Europe,Distributor,0,0,0,1,0,0,0,0,0,0
204,52,Phase A - Initiation,2020-03-12,139,700,26,52,109,both,-30,0,En avance,3,1,2020,5.611510791366906,IT -  CRM Implementation,France,Western Europe,Affiliate,0,0,0,0,1,0,0,0,0,0
205,52,Phase B - Preparation,2020-06-29,157,16100,24,52,136,both,-21,0,En avance,6,2,2020,4.585987261146497,IT -  CRM Implementation,France,Western Europe,Affiliate,0,0,0,0,0,1,0,0,0,0
206,52,Phase C - Development,2020-08-04,9,21000,23,52,13,both,4,1,Petit retard (<1mois),8,3,2020,76.66666666666666,IT -  CRM Implementation,France,Western Europe,Affiliate,0,0,0,0,0,0,1,0,0,0
207,52,Phase D - Testing,2020-12-19,48,5600,25,52,58,both,10,1,Petit retard (<1mois),12,4,2020,15.625000000000002,IT -  CRM Implementation,France,Western Europe,Affiliate,0,0,0,0,0,0,0,1,0,0
208,52,Phase E - Deployment,2021-03-14,161,115000,5,52,114,both,-47,0,En avance,3,1,2021,0.9316770186335404,IT -  CRM Implementation,France,Western Europe,Affiliate,0,0,0,0,0,0,0,0,1,0
209,52,Phase F - Post-deployment,2021-07-06,26,2800,7,52,36,both,10,1,Petit retard (<1mois),7,3,2021,8.076923076923077,IT -  CRM Implementation,France,Western Europe,Affiliate,0,0,0,0,0,0,0,0,0,1
210,53,Phase A - Initiation,2020-04-23,38,700,10,53,44,both,6,1,Petit retard (<1mois),4,2,2020,7.894736842105263,IT -  CRM Implementation,Belgique,Western Europe,Affiliate,0,0,0,0,1,0,0,0,0,0
211,53,Phase B - Preparation,2020-06-06,61,16100,31,53,78,both,17,1,Petit retard (<1mois),6,2,2020,15.245901639344263,IT -  CRM Implementation,Belgique,Western Europe,Affiliate,0,0,0,0,0,1,0,0,0,0
212,53,Phase C - Development,2020-10-11,39,21000,8,53,70,both,31,1,Retard moyen (1-3mois),10,4,2020,6.153846153846153,IT -  CRM Implementation,Belgique,Western Europe,Affiliate,0,0,0,0,0,0,1,0,0,0
213,53,Phase D - Testing,2020-12-30,15,5600,20,53,26,both,11,1,Petit retard (<1mois),12,4,2020,40.0,IT -  CRM Implementation,Belgique,Western Europe,Affiliate,0,0,0,0,0,0,0,1,0,0
214,53,Phase E - Deployment,2021-02-14,124,80000,28,53,128,both,4,1,Petit retard (<1mois),2,1,2021,6.774193548387097,IT -  CRM Implementation,Belgique,Western Europe,Affiliate,0,0,0,0,0,0,0,0,1,0
215,53,Phase F - Post-deployment,2021-06-21,111,2800,25,53,106,both,-5,0,En avance,6,2,2021,6.756756756756757,IT -  CRM Implementation,Belgique,Western Europe,Affiliate,0,0,0,0,0,0,0,0,0,1
216,54,Phase A - Initiation,2020-05-20,173,700,10,54,281,both,108,1,Grand retard (>3mois),5,2,2020,1.7341040462427746,IT -  CRM Implementation,Hollande,Western Europe,Affiliate,0,0,0,0,1,0,0,0,0,0
217,54,Phase B - Preparation,2020-06-17,29,16100,30,54,52,both,23,1,Petit retard (<1mois),6,2,2020,31.03448275862069,IT -  CRM Implementation,Hollande,Western Europe,Affiliate,0,0,0,0,0,1,0,0,0,0
218,54,Phase C - Development,2020-11-16,64,21000,4,54,69,both,5,1,Petit retard (<1mois),11,4,2020,1.875,IT -  CRM Implementation,Hollande,Western Europe,Affiliate,0,0,0,0,0,0,1,0,0,0
219,54,Phase D - Testing,2021-01-24,173,5600,17,54,153,both,-20,0,En avance,1,1,2021,2.947976878612717,IT -  CRM Implementation,Hollande,Western Europe,Affiliate,0,0,0,0,0,0,0,1,0,0
220,54,Phase E - Deployment,2021-06-25,52,50000,12,54,79,both,27,1,Petit retard (<1mois),6,2,2021,6.923076923076923,IT -  CRM Implementation,Hollande,Western Europe,Affiliate,0,0,0,0,0,0,0,0,1,0
221,54,Phase F - Post-deployment,2021-09-12,184,2800,20,54,157,both,-27,0,En avance,9,3,2021,3.260869565217391,IT -  CRM Implementation,Hollande,Western Europe,Affiliate,0,0,0,0,0,0,0,0,0,1
222,55,Phase A - Initiation,2020-01-15,68,700,29,55,44,both,-24,0,En avance,1,1,2020,12.794117647058822,IT -  CRM Implementation,Luxembourg,Western Europe,Affiliate,0,0,0,0,1,0,0,0,0,0
223,55,Phase B - Preparation,2020-02-28,161,16100,7,55,139,both,-22,0,En avance,2,1,2020,1.3043478260869565,IT -  CRM Implementation,Luxembourg,Western Europe,Affiliate,0,0,0,0,0,1,0,0,0,0
224,55,Phase C - Development,2020-07-17,66,21000,9,55,31,both,-35,0,En avance,7,3,2020,4.090909090909091,IT -  CRM Implementation,Luxembourg,Western Europe,Affiliate,0,0,0,0,0,0,1,0,0,0
225,55,Phase D - Testing,2020-08-17,153,5600,7,55,84,both,-69,0,En avance,8,3,2020,1.3725490196078431,IT -  CRM Implementation,Luxembourg,Western Europe,Affiliate,0,0,0,0,0,0,0,1,0,0
226,55,Phase E - Deployment,2020-10-20,83,58000,26,55,89,both,6,1,Petit retard (<1mois),10,4,2020,9.397590361445783,IT -  CRM Implementation,Luxembourg,Western Europe,Affiliate,0,0,0,0,0,0,0,0,1,0
227,55,Phase F - Post-deployment,2021-01-17,19,2800,6,55,12,both,-7,0,En avance,1,1,2021,9.473684210526315,IT -  CRM Implementation,Luxembourg,Western Europe,Affiliate,0,0,0,0,0,0,0,0,0,1
228,56,Phase A - Initiation,2020-02-07,154,700,8,56,81,both,-73,0,En avance,2,1,2020,1.5584415584415585,IT -  CRM Implementation,Italie,Western Europe,Affiliate,0,0,0,0,1,0,0,0,0,0
229,56,Phase B - Preparation,2020-02-15,47,16100,32,56,56,both,9,1,Petit retard (<1mois),2,1,2020,20.425531914893618,IT -  CRM Implementation,Italie,Western Europe,Affiliate,0,0,0,0,0,1,0,0,0,0
230,56,Phase C - Development,2020-05-28,95,21000,4,56,116,both,21,1,Petit retard (<1mois),5,2,2020,1.263157894736842,IT -  CRM Implementation,Italie,Western Europe,Affiliate,0,0,0,0,0,0,1,0,0,0
